M-34-101-A-b-3-3-1,-
M-34-100-B-d-1-1-3,Schron przy Jaskini Zakosistej
M-34-100-B-d-1-1-2,Schron w Progu Mułowym
M-34-100-B-d-1-1-3,Schron w Upłazkowej Turni
M-34-100-B-d-1-1-4,Schron z Balkonem
M-34-100-B-d-1-1-3,Schron z Wantą
M-34-100-B-d-1-1-2,Schrony nad Okapami
M-34-100-B-d-1-1-3,Spękana Szczelina
M-34-100-B-d-1-1-3,Studnia Kuturniańska
M-34-100-B-d-1-1-2,Studnia w Kazalnicy
M-34-100-B-d-1-1-2,Studnia za Murem
M-34-100-B-d-1-1-4,Studzienka w Ciemniaku
M-34-100-B-d-1-1-4,Szczelina nad Jaskinią Lodową
M-34-100-B-d-1-1-3,Szczelina pod Jaskinią Gankową Pierwsza
M-34-100-B-d-1-1-3,Szczelina pod Jaskinią Gankową Druga
M-34-100-B-d-1-1-3,Szczelina pod Jaskinią Gankową Trzecia
M-34-100-B-d-1-1-4,Szczelina pod Jaskinią Lodową
M-34-100-B-d-1-1-3,Szczelina przy Arkadzie
M-34-100-B-d-1-1-4,Szczelina w Ciemniaku
M-34-100-B-d-1-1-4,Szczelina w Progu Mułowym
M-34-100-B-d-1-1-4,Szczelina w Tomanowym Grzbiecie Pierwsza
M-34-100-B-d-1-1-4,Szczelina w Tomanowym Grzbiecie Druga
M-34-100-B-d-1-1-4,Szczelina w Tomanowym Grzbiecie Trzecia
M-34-100-B-d-1-1-4,Szczelina w Tomanowym Grzbiecie Czwarta
M-34-100-B-d-1-1-4,Szczelina w Tomanowym Grzbiecie Piąta
M-34-100-B-d-1-1-4,Szczelina w Tomanowym Grzbiecie Szósta
M-34-100-B-d-1-1-2,Szczelina w Wołowym Żlebie
M-34-100-B-d-1-1-4,Śnieżna Szczelina
M-34-100-B-d-1-1-2,Śnieżny Awen
M-34-100-B-d-1-1-2,Świstowa Szczelina
M-34-100-B-d-1-1-3,Trójkątny Schron
M-34-100-B-d-1-1-3,Ukryty Schron
M-34-100-B-d-1-1-2,Zimny Awen
M-34-100-B-d-1-1-1,Schron w Piecu
M-34-100-B-d-1-1-4,Szerokie Siodło
M-34-100-B-d-1-1-4,Twarda Galeria
M-34-100-B-d-1-1-4,Twarda Kopa
M-34-100-B-d-1-1-3,Wysoki Przechód
M-34-100-B-d-1-1-2,Zielone Kominy
M-34-100-B-d-1-1-4,Karczmisko
M-34-100-B-d-1-1-2,Kobylarzowe Siodełko
M-34-100-B-d-1-1-2,Dziurawe Czuby
M-34-100-B-d-1-1-2,Litworowe Spady
M-34-100-B-d-1-1-2,Dziurawe Baszty
M-34-100-B-d-1-1-2,Turnie nad Dziurawem
M-34-100-B-d-1-1-2,Twarde Spady
M-34-100-B-d-1-1-2,Miętusia Kazalnica
M-34-100-B-d-1-1-1,Zdziary Upłaziańskie
M-34-100-B-d-1-1-3,Kamienne
M-34-100-B-d-1-1-4,Mułowe Spady
M-34-100-B-d-1-1-2,Kobylarzowa Kopka
M-34-100-B-d-1-1-4,Lodowy Żleb
M-34-100-B-d-1-1-2,Miętusi Mur
M-34-100-B-d-1-1-3,Niedźwiedź
M-34-100-B-d-1-1-3,Przednie Kamienne
M-34-100-B-d-1-1-3,Zadnie Kamienne
M-34-100-B-d-1-1-3,Wolarski Żleb
M-34-100-B-d-1-1-3,Żleb pod Lodowiec
M-34-100-B-d-1-1-3,Płaśń Między Progi
M-34-100-B-d-1-1-3,Kościół Mariacki
M-34-100-B-d-1-1-4,Nad Lodowiec
M-34-100-B-d-1-1-3,Niska Turnia
M-34-100-B-d-1-1-1,Narciarski Żleb
M-34-100-B-d-1-1-1,Źródliska
M-34-100-B-d-1-1-3,Rynek
M-34-100-B-d-1-1-1,Karczmarski Żleb
M-34-100-B-d-1-1-1,Biały Żleb
M-34-100-B-d-1-1-1,Do Skoli
M-34-100-B-d-1-1-1,Białe Siodełko
M-34-100-B-d-1-1-2,Żleb z Progiem
M-34-100-B-d-1-1-2,Miętusie Turnie
M-34-100-B-d-1-1-4,Twardy Upłaz Tomaniarski
M-34-100-B-d-1-1-4,Wyznie Rzędy
M-34-100-B-d-1-1-4,Wysoki Upłaz
M-34-100-B-d-1-1-4,Mułowy Kocioł
M-34-100-B-d-1-1-2,Ratuszowy Grzbiet
M-34-100-B-d-1-1-4,Mułowy Grzbiet
M-34-100-B-d-1-1-2,Ratuszowy Przechód
M-34-100-B-d-1-1-2,Litworowy Próg
M-34-100-B-d-1-1-2,Hawirska Droga
M-34-100-B-d-1-1-4,Zadnie Kamienne
M-34-100-B-d-1-1-1,Upłaz
M-34-100-B-d-1-1-1,Rówień nad Karczmą
M-34-100-B-d-1-1-2,Stoły
M-34-100-B-d-1-1-2,Turnie Żdziary
M-34-100-B-d-1-1-3,Zatoka ku Turni
M-34-100-B-d-1-1-3,Czarne Turnie
M-34-100-B-d-1-1-3,Niskie Siodło
M-34-100-B-d-1-1-4,Lodowe Siodło
M-34-100-B-d-1-1-3,Wysoka Zatoka
M-34-100-B-d-1-1-3,Plateau pod Wysoką
M-34-100-B-d-1-1-4,Morena
M-34-100-B-d-1-1-4,Płaśń pod Moreną
M-34-100-B-d-1-1-4,Próg Mułowy
M-34-100-B-d-1-1-2,Dwoisty Komin
M-34-100-B-d-1-1-2,Ślepy Żleb
M-34-100-B-d-1-1-4,Ściana Kazalnicy Miętusiej
M-34-100-B-d-1-1-3,Wysoka Szczerbina
M-34-100-B-d-1-1-1,Karczmarski Przechód
M-34-100-B-d-1-1-3,Upłazkowa Kopa
M-34-100-B-d-1-1-3,Upłazkowe Siodło
M-34-100-B-d-1-1-3,Upłazkowy Kocioł
M-34-100-B-d-1-1-3,Upłazkowa Szczerbina
M-34-100-B-d-1-1-3,Upłazkowy Ząb
M-34-100-B-d-1-1-3,Upłazkowy Przechód
M-34-100-B-d-1-1-3,Upłazkowa Grań
M-34-100-B-d-1-1-3,Upłazkowy Kopiniak
M-34-100-B-d-1-1-3,Upłazkowe Wrótka
M-34-100-B-d-1-1-3,Przełączka za Upłazkową Basztą
M-34-100-B-d-1-1-3,Upłazkowa Baszta
M-34-100-B-d-1-1-3,Ptakowy Przechód
M-34-100-B-d-1-1-1,Siodło za Piecem
M-34-100-B-d-1-1-1,Rówień nad Piecem
M-34-100-B-d-1-1-2,Czarcie Ślepia
M-34-100-B-d-1-1-2,Dziurawy Zachód
M-34-100-B-d-1-1-2,Wyżnia Rówień Miętusia
M-34-100-B-d-1-1-4,Depresja Bilskiego
M-34-100-B-d-1-1-2,Depresja Dziurawego
M-34-100-B-d-1-1-2,Siodełko pod Dziurawem
M-34-100-B-d-1-1-2,Dziurawe Turniczki
M-34-100-B-d-1-1-2,Motylek
M-34-100-B-d-1-1-2,Dolne Półki
M-34-100-B-d-1-1-2,Górne Półki
M-34-100-B-d-1-1-4,Gzyms Nowińskiego
M-34-100-B-d-1-1-1,Karczemny Komin
M-34-100-B-d-1-1-3,Okap nad Świętymi
M-34-100-B-d-1-1-3,Święci
M-34-100-B-d-1-1-4,Przełączka pod Chudą Turnią
M-34-100-B-d-1-1-1,Żleb nad Pisaną
M-34-101-A-b-1-3-3,Białka
M-34-101-A-b-1-3-1,Białka
M-34-101-A-b-1-3-1,Białka
M-34-101-A-b-1-3-2,Dolina Białki
M-34-101-A-b-1-3-3,Kiczora Niżnia
M-34-101-A-b-1-3-1,Rynias
M-34-101-A-b-1-3-1,Ku Ryniasu
M-34-101-A-b-1-3-3,Za Rynias
M-34-101-A-b-1-3-1,Jędrychowa
M-34-100-B-a-2-2-1,Dzianiski Potok
M-34-100-B-a-2-2-2,Dzianiski Potok
M-34-100-B-a-2-2-2,Dzianiski Potok
M-34-100-B-a-2-2-3,Gawroński
M-34-100-B-a-2-2-1,Gawroński
M-34-100-B-a-2-2-3,Iwanówki
M-34-100-B-a-2-2-3,Iwański
M-34-100-B-a-2-2-3,Iwański
M-34-100-B-a-2-2-4,Iwański Wierch
M-34-100-B-a-2-2-2,Kijów
M-34-100-B-a-2-2-4,Kijów
M-34-100-B-a-2-2-2,Labiackie Wierszyki
M-34-100-B-a-2-2-2,Mamonów
M-34-100-B-a-2-2-1,Wierszyki
M-34-100-B-a-2-2-1,Zającowski
M-34-100-B-a-2-2-4,Zającowski
M-34-100-B-a-2-2-2,Zającowski
M-34-100-B-a-2-2-2,Zającowski
M-34-100-B-a-2-2-4,Zawiersie
M-34-100-B-a-2-2-1,Chlipówki
M-34-100-B-a-2-2-1,Wierchowa Droga
M-34-100-B-a-2-2-1,Wierchowa Droga
M-34-100-B-b-2-2-3,Bachledzki Potok
M-34-100-B-b-2-2-3,Bachledzki Potok
M-34-100-B-b-2-2-1,Bucznik
M-34-100-B-b-2-2-2,Gutowski Potok
M-34-100-B-b-2-2-2,Gutowski Potok
M-34-100-B-b-2-2-4,Olczanka
M-34-100-B-b-2-2-4,Olczanka
M-34-100-B-b-2-2-4,Olczanka
M-34-100-B-b-2-2-1,Rafaczański Potok
M-34-100-B-b-2-2-4,Rybków Potok
M-34-100-B-b-2-2-4,Rybków Potok
M-34-100-B-b-2-2-1,Wierch Grapa
M-34-100-B-b-2-2-3,Zakopianka
M-34-100-B-b-2-2-3,Zakopianka
M-34-100-B-b-2-2-2,Zakopianka
M-34-100-B-b-2-2-2,Zakopianka
M-34-100-B-b-2-2-4,Homolacka Droga
M-34-100-B-b-2-2-1,Rafaczańska Grapa
M-34-100-B-b-2-2-2,Rafaczańska Grapa
M-34-100-B-d-1-3-2,Czerwone Żlebki
M-34-100-B-d-1-3-2,Czerwony Żleb
M-34-100-B-d-1-3-2,Kamienisty Żleb
M-34-100-B-d-1-3-2,Kościołki
M-34-100-B-d-1-3-1,Niedźwiedź
M-34-100-B-d-1-3-2,Niski Upłaz
M-34-100-B-d-1-3-1,Niżnia Tomanowa Polana
M-34-100-B-d-1-3-1,Pośredni Smreczyński Grzbiet
M-34-100-B-d-1-3-3,Skrajna Sucha Dolina Smreczyńska
M-34-100-B-d-1-3-3,Skrajne Nadspady
M-34-100-B-d-1-3-4,Smreczyńska Przełęcz
M-34-100-B-d-1-3-3,Smreczyński Upłaz
M-34-100-B-d-1-3-2,Stoły
M-34-100-B-d-1-3-4,Sucha Dolina Tomanowa
M-34-100-B-d-1-3-4,Suchy Wierch Tomanowy
M-34-100-B-d-1-3-2,Tomanowa Przełęcz
M-34-100-B-d-1-3-1,Dolina Tomanowa
M-34-100-B-d-1-3-1,Hala Tomanowa
M-34-100-B-d-1-3-3,Tomanowy Potok
M-34-100-B-d-1-3-1,Tomanowy Potok
M-34-100-B-d-1-3-4,Tomanowy Wierch Polski
M-34-100-B-d-1-3-2,Wyżnia Tomanowa Polana
M-34-100-B-d-1-3-1,Zadni Smreczyński Grzbiet
M-34-100-B-d-1-3-4,Zadni Smreczyński Upłaz
M-34-100-B-d-1-3-1,Zadnia Sucha Dolina Smreczyńska
M-34-100-B-d-1-3-3,Zadnie Nadspady
M-34-100-B-d-1-3-2,Kościołki
M-34-100-B-d-1-3-2,Głazista Turnia
M-34-100-B-d-1-3-2,Kościółki
M-34-100-B-d-1-3-2,Tomanowe Stoły
M-34-100-B-d-1-3-2,Niżnie Rzędy
M-34-100-B-d-1-3-2,Szeroki Upłaz
M-34-100-B-d-1-3-2,Kram
M-34-100-B-d-1-3-2,Wyżnia Mała Przełączka
M-34-100-B-d-1-3-2,Głazista Czubka
M-34-100-B-d-1-3-4,Tomanowa Kopa
M-34-100-B-d-3-1-1,Hlińska Przełęcz
M-34-100-B-d-3-1-1,Skrajny Smreczyński Upłaz
M-34-100-B-d-3-1-1,Smreczyński Wierch
M-34-101-A-b-1-2-1,Bartkówka
M-34-101-A-b-1-2-1,Cirhla
M-34-101-A-b-1-2-2,Gajnik
M-34-101-A-b-1-2-1,Klarówka
M-34-101-A-b-1-2-3,Okólne
M-34-101-A-b-1-2-4,Suchy Potok
M-34-101-A-b-1-2-1,Suchy Potok
M-34-101-A-b-1-2-1,Suchy Potok
M-34-101-A-b-1-2-3,Suchy Potok
M-34-101-A-b-1-2-3,Wyrobisko
M-34-101-A-b-1-2-1,Zmyślne
M-34-101-A-b-1-2-1,Borcok
M-34-101-A-b-1-2-3,Piekło
M-34-101-A-b-1-2-3,Polana Podkólne
M-34-101-A-b-1-2-1,Budziska
M-34-101-A-c-2-2-3,Białka
M-34-101-A-c-2-2-1,Białka
M-34-101-A-c-2-2-1,Białka
M-34-101-A-c-2-2-1,Niżnia Polana pod Wołoszynem
M-34-101-A-c-2-2-3,Roztoka
M-34-101-A-c-2-2-1,Droga Oswalda Balzera
M-34-100-B-b-1-2-2,Bystry
M-34-100-B-b-1-2-2,Bystry
M-34-100-B-b-1-2-2,Florków
M-34-100-B-b-1-2-2,Florków
M-34-100-B-b-1-2-3,Kulowiańska Dolina
M-34-100-B-b-1-2-2,Kulowiańska Dolina
M-34-100-B-b-1-2-1,Kulowiańska Dolina
M-34-100-B-b-1-2-2,Kulowiański
M-34-100-B-b-1-2-3,Kulowiański
M-34-100-B-b-1-2-1,Kulowiański
M-34-100-B-b-1-2-1,Kulowiański
M-34-100-B-b-1-2-2,Ligasowski Potok
M-34-100-B-b-1-2-2,Ligasowski Potok
M-34-100-B-b-1-2-2,Lipień
M-34-100-B-b-1-2-4,Lipień
M-34-100-B-b-1-2-4,Lipień
M-34-100-B-b-1-2-1,Łacków Potok
M-34-100-B-b-1-2-1,Piszczorówka
M-34-100-B-b-1-2-3,Polana Słodyczkowa
M-34-100-B-b-1-2-2,Słodyczków Potok
M-34-100-B-b-1-2-3,Słodyczków Potok
M-34-100-B-b-1-2-3,Słodyczków Potok
M-34-100-B-b-1-2-3,Słodyczków Potok
M-34-100-B-b-1-2-3,Suchy Potok
M-34-100-B-b-1-2-3,Suchy Potok
M-34-100-B-b-1-2-4,Brylówka
M-34-100-B-b-3-3-3,Adamica
M-34-100-B-b-3-3-1,Czerwony Gronik
M-34-100-B-b-3-3-1,Dziura w Kończystej Turni
M-34-100-B-b-3-3-1,Hruby Regiel
M-34-100-B-b-3-3-1,Jaworzynka Miętusia
M-34-100-B-b-3-3-1,Dziura Niżnia w Kończystej Turni
M-34-100-B-b-3-3-1,Kończysta Turnia
M-34-100-B-b-3-3-3,Krowi Żleb
M-34-100-B-b-3-3-1,Mała Zawiesista Turnia
M-34-100-B-b-3-3-2,Dolina Małej Łąki
M-34-100-B-b-3-3-2,Małołącki Potok
M-34-100-B-b-3-3-2,Małołącki Potok
M-34-100-B-b-3-3-2,Małołącki Potok
M-34-100-B-b-3-3-4,Miętusi Potok
M-34-100-B-b-3-3-1,Miętusi Potok
M-34-100-B-b-3-3-4,Miętusi Potok
M-34-100-B-b-3-3-1,Miętusi Potok
M-34-100-B-b-3-3-4,Dolina Miętusia
M-34-100-B-b-3-3-4,Dolina Miętusia
M-34-100-B-b-3-3-2,Nad Szatrą
M-34-100-B-b-3-3-1,Dziura Stanikowa Niżnia
M-34-100-B-b-3-3-4,Niżnia Miętusia Rówień
M-34-100-B-b-3-3-1,Niżnie Stanikowe Siodło
M-34-100-B-b-3-3-1,Ogon
M-34-100-B-b-3-3-2,Przysłop Miętusi
M-34-100-B-b-3-3-2,Rapasiowa Turnia
M-34-100-B-b-3-3-2,Rówienki
M-34-100-B-b-3-3-4,Skoruśniak
M-34-100-B-b-3-3-1,Spalone Siodło
M-34-100-B-b-3-3-1,Staników Potok
M-34-100-B-b-3-3-3,Szeroki Źleb
M-34-100-B-b-3-3-3,Upłaz
M-34-100-B-b-3-3-3,Upłaziański Wierszyk
M-34-100-B-b-3-3-3,Upłazińska Kopka
M-34-100-B-b-3-3-1,Dziura Stanikowa Wyżnia
M-34-100-B-b-3-3-4,Wyżnia Rówień Miętusia
M-34-100-B-b-3-3-3,Wyżnia Równień Upłaziańska
M-34-100-B-b-3-3-1,Wyżnie Stanikowe Siodło
M-34-100-B-b-3-3-1,Zawiesista Turnia
M-34-100-B-b-3-3-1,Ciasna Norka
M-34-100-B-b-3-3-1,Dziura w Kończystej Niżnia
M-34-100-B-b-3-3-1,Dziura w Żlebku
M-34-100-B-b-3-3-1,Dziura za Smrekiem w Zawiesistej
M-34-100-B-b-3-3-1,Jaskinia Barłogowa
M-34-100-B-b-3-3-1,Jaskinia Niska
M-34-100-B-b-3-3-1,Koleba za Kończystą
M-34-100-B-b-3-3-1,Mała Dziura w Kończystej Turni
M-34-100-B-b-3-3-1,Nyża pod Progiem w Kończystej
M-34-100-B-b-3-3-1,Nyża w Kończystej
M-34-100-B-b-3-3-1,Okap w Kończystej Turni
M-34-100-B-b-3-3-1,Schron pod Kończystą
M-34-100-B-b-3-3-1,Schronik w Kończystej Turni
M-34-100-B-b-3-3-1,Schronisko Wschodnie w Kończystej
M-34-100-B-b-3-3-1,Szczelina Przysłopczańska
M-34-100-B-b-3-3-4,Niedźwiedzi Przechód
M-34-100-B-b-3-3-2,Gmiński Żleb
M-34-100-B-b-3-3-1,Gronikowski Żleb
M-34-100-B-b-3-3-4,Scieżka nad Reglami
M-34-100-B-b-3-3-1,Scieżka nad Reglami
M-34-100-B-b-3-3-1,Żeleźniak
M-34-100-B-b-3-3-1,Lesisty Grzbiet
M-34-100-B-b-3-3-3,Kobylarnia
M-34-100-B-b-3-3-3,Upłaźiński Żleb
M-34-100-B-b-3-3-3,Rówieńki
M-34-100-B-b-3-3-3,Upłaz Miętusi
M-34-100-B-b-3-3-3,Kotaszka
M-34-100-B-b-3-3-2,Skalnite
M-34-100-B-b-3-3-2,Gmińskie Siwarowe
M-34-100-B-b-3-3-4,Siwarowa Czuba
M-34-100-B-b-3-3-1,Gładki Żleb
M-34-100-B-b-3-3-1,Zadnia Kończysta
M-34-100-B-b-3-3-1,Czerwony Filar
M-34-100-B-b-3-3-1,Siodło za Zawiesistą
M-34-100-B-b-3-3-2,Szatra
M-34-100-B-b-3-3-4,Hawirska Droga
M-34-100-B-b-3-3-2,Hawirska Droga
M-34-100-B-b-3-3-3,Polana Upłaz
M-34-100-B-b-3-4-4,Bacuch
M-34-100-B-b-3-4-3,Banie
M-34-100-B-b-3-4-3,Biała Turnia
M-34-100-B-b-3-4-1,Czarna Turnia
M-34-100-B-b-3-4-4,Dziura nad Doliną Strążyską
M-34-100-B-b-3-4-4,Giewont
M-34-100-B-b-3-4-3,Grzybowiec
M-34-100-B-b-3-4-2,Dolina Grzybowiecka
M-34-100-B-b-3-4-2,Grzybowiecki Potok
M-34-100-B-b-3-4-3,Grzybowiecki Potok
M-34-100-B-b-3-4-2,Grzybowiecki Potok
M-34-100-B-b-3-4-2,Jatki
M-34-100-B-b-3-4-2,Jelinka
M-34-100-B-b-3-4-2,Kapelusze
M-34-100-B-b-3-4-2,Turnia Kiernia
M-34-100-B-b-3-4-2,Kierniczka
M-34-100-B-b-3-4-4,Kirkora
M-34-100-B-b-3-4-4,Kirkora
M-34-100-B-b-3-4-1,Kohut
M-34-100-B-b-3-4-3,Kolebiska
M-34-100-B-b-3-4-4,Kominek Giewontowy
M-34-100-B-b-3-4-2,Koń
M-34-100-B-b-3-4-2,Koński Żleb
M-34-100-B-b-3-4-1,Krzeptowski Potok
M-34-100-B-b-3-4-1,Łysanki
M-34-100-B-b-3-4-4,Mała Dolinka
M-34-100-B-b-3-4-4,Mała Dziura Giewontowa
M-34-100-B-b-3-4-3,Mała Polanka
M-34-100-B-b-3-4-4,Mały Bacuch
M-34-100-B-b-3-4-4,Mały Giewont
M-34-100-B-b-3-4-2,Miśkowiec
M-34-100-B-b-3-4-4,Nyża pod Brzózką
M-34-100-B-b-3-4-1,Pośredni Wierszyk
M-34-100-B-b-3-4-2,Samkowe Siodło
M-34-100-B-b-3-4-4,Siklawica
M-34-100-B-b-3-4-3,Stawki
M-34-100-B-b-3-4-4,Strążyska
M-34-100-B-b-3-4-2,Strążyska
M-34-100-B-b-3-4-4,Hala Strążyska
M-34-100-B-b-3-4-2,Polana Strążyska
M-34-100-B-b-3-4-4,Strążyski Potok
M-34-100-B-b-3-4-2,Strążyski Potok
M-34-100-B-b-3-4-4,Styrżnik
M-34-100-B-b-3-4-4,Szczelina w Żlebie Kirkora
M-34-100-B-b-3-4-4,Szczerba
M-34-100-B-b-3-4-4,Jaskinia Śpiących Rycerzy Wyżnia
M-34-100-B-b-3-4-3,Uwięziony Żleb
M-34-100-B-b-3-4-3,Przełęcz w Grzybowcu
M-34-100-B-b-3-4-4,Warzecha
M-34-100-B-b-3-4-3,Wielka Polana
M-34-100-B-b-3-4-4,Wielka Rówień
M-34-100-B-b-3-4-4,Wielka Rówień
M-34-100-B-b-3-4-4,Wielki Bacuch
M-34-100-B-b-3-4-4,Wolejarnia
M-34-100-B-b-3-4-3,Wyżnie
M-34-100-B-b-3-4-4,Dziura nad Jaskinią Śpiących Rycerzy Pierwsza
M-34-100-B-b-3-4-4,Dziura nad Jaskinią Śpiących Rycerzy Druga
M-34-100-B-b-3-4-4,Dziura nad Jaskinią Śpiących Rycerzy Trzecia
M-34-100-B-b-3-4-4,Dziura w Szczerbie Pierwsza
M-34-100-B-b-3-4-2,Dziurawa Nisza w Jatkach
M-34-100-B-b-3-4-4,Jaskinia Śpiących Rycerzy
M-34-100-B-b-3-4-2,Jaskinia w Jatkach
M-34-100-B-b-3-4-2,Kominek w Jatkach
M-34-100-B-b-3-4-2,Nisza w Jatkach
M-34-100-B-b-3-4-4,Nyża Giewontowa
M-34-100-B-b-3-4-2,Nyża przy Jatkach
M-34-100-B-b-3-4-4,Nyża przy Starym Szlaku
M-34-100-B-b-3-4-2,Okno w Jatkach Pierwsze
M-34-100-B-b-3-4-2,Okno w Jatkach Drugie
M-34-100-B-b-3-4-2,Schron za Irgą
M-34-100-B-b-3-4-2,Tunel w Jatkach
M-34-100-B-b-3-4-2,Komora w Jatkach
M-34-100-B-b-3-4-2,Sarni Żleb
M-34-100-B-b-3-4-4,Olejarnia
M-34-100-B-b-3-4-2,Kominy  Strążyskie
M-34-100-B-b-3-4-2,Scieżka nad Reglami
M-34-100-B-b-3-4-3,Siwarowe
M-34-100-B-b-3-4-4,Giewonckie Turnie
M-34-100-B-b-3-4-4,Skrajna Giewnocka Turnia
M-34-100-B-b-3-4-4,Zdziarchy
M-34-100-B-b-3-4-4,Szary Żleb
M-34-100-B-b-3-4-4,Żleb Śpiących Rycerzy
M-34-100-B-b-3-4-4,Żleb pod Zdziarchy
M-34-100-B-b-3-4-4,Szara Turnia
M-34-100-B-b-3-4-3,Koszary
M-34-100-B-b-3-4-3,Upłazek
M-34-100-B-b-3-4-4,Strzyżnikowy Mnich
M-34-100-B-b-3-4-4,Giewoncki Mnich
M-34-100-B-b-3-4-4,Giewoncki Ząb
M-34-100-B-b-3-4-4,Dziady
M-34-100-B-b-3-4-4,Cisowe Igły
M-34-100-B-b-3-4-4,Wysoka Giewoncka Turnia
M-34-100-B-b-3-4-4,Iglica
M-34-100-B-b-3-4-1,Kohut
M-34-100-B-b-3-4-2,Żleb pod Szczyt
M-34-100-B-b-3-4-2,Sfinks
M-34-100-B-c-1-3-4,Czerwony Wierch
M-34-100-B-c-1-3-1,Długi Upłaz
M-34-100-B-c-1-3-2,Gładki Upłaz
M-34-100-B-c-1-3-4,Kopa
M-34-100-B-c-1-3-2,Litworowy Potok
M-34-100-B-c-1-3-2,Litworowy Potok
M-34-100-B-c-1-3-2,Litworowy Żleb
M-34-100-B-c-1-3-3,Rakoń
M-34-100-B-c-1-3-3,Rochacz
M-34-100-B-c-1-3-2,Siwarnie
M-34-100-B-c-1-3-4,Skrajniak
M-34-100-B-c-1-3-4,Skrzynia
M-34-100-B-c-1-3-2,Smytnia
M-34-100-B-c-1-3-3,Stoły
M-34-100-B-c-1-3-3,Szczyt
M-34-100-B-c-1-3-4,Szeroki Piarg
M-34-100-B-c-1-3-4,Wyżni Chochołowski Potok
M-34-100-B-c-1-3-2,Wyżni Chochołowski Potok
M-34-100-B-c-1-3-4,Wyżnia Chochołowska Dolina
M-34-100-B-c-1-3-2,Wyżnia Chochołowska Dolina
M-34-100-B-c-1-3-4,Zychówka
M-34-100-B-c-1-3-3,Zawracie
M-34-100-B-c-1-3-2,Polana Chochołowska Wyżnia
M-34-100-B-c-1-3-4,Dziurawy Kocioł
M-34-100-B-c-1-3-4,Głęboka Ulica
M-34-100-B-c-1-3-4,Głęboka Ulica
M-34-100-B-c-1-3-4,Głęboka Ulica
M-34-100-B-c-1-3-4,Szeroka Ulica
M-34-100-B-c-1-3-3,Szeroka Ulica
M-34-100-B-c-1-3-4,Szeroka Ulica
M-34-100-B-c-1-3-4,Skalista Ulica
M-34-100-B-c-1-3-4,Skalista Ulica
M-34-100-B-c-1-3-4,Skalista Ulica
M-34-101-A-a-1-3-3,Chłabowski Potok
M-34-101-A-a-1-3-2,Chowańców Potok
M-34-101-A-a-1-3-2,Faktorów Bór
M-34-101-A-a-1-3-1,Gawlaków Wierch
M-34-101-A-a-1-3-4,Hrubiański Potok
M-34-101-A-a-1-3-4,Hrubiański Potok
M-34-101-A-a-1-3-2,Hrubiański Potok
M-34-101-A-a-1-3-3,Huciański Potok
M-34-101-A-a-1-3-1,Janoszów Wierch
M-34-101-A-a-1-3-3,Kadukowski Potok
M-34-101-A-a-1-3-3,Kadukowski Potok
M-34-101-A-a-1-3-3,Kadukowski Potok
M-34-101-A-a-1-3-1,Olczański Wierch
M-34-101-A-a-1-3-3,Orawców Potok
M-34-101-A-a-1-3-1,Orawców Potok
M-34-101-A-a-1-3-2,Orawców Potok
M-34-101-A-a-1-3-1,Piszczorów Potok
M-34-101-A-a-1-3-1,Piszczorów Potok
M-34-101-A-a-1-3-1,Piszczorów Wierch
M-34-101-A-a-1-3-3,Rów Podtatrzański
M-34-101-A-a-1-3-1,Rola Janoszowa
M-34-101-A-a-1-3-1,Rola Piszczorowa
M-34-101-A-a-1-3-1,Rola Walkoszowa
M-34-101-A-a-1-3-4,Skupniów Potok
M-34-101-A-a-1-3-4,Skupniów Potok
M-34-101-A-a-1-3-2,Stawiańce
M-34-101-A-a-1-3-3,Toporów Wierch
M-34-101-A-a-1-3-1,Walkoszów Potok
M-34-101-A-a-1-3-1,Walkoszów Wierch
M-34-101-A-a-1-3-3,Zajączyniec
M-34-101-A-a-1-4-2,Bafiówki
M-34-101-A-a-1-4-1,Budzów Potok
M-34-101-A-a-1-4-1,Chowańców Potok
M-34-101-A-a-1-4-3,Chowańców Potok
M-34-101-A-a-1-4-4,Czarny Potok
M-34-101-A-a-1-4-2,Czarny Potok
M-34-101-A-a-1-4-2,Czarny Potok
M-34-101-A-a-1-4-2,Czarny Potok
M-34-101-A-a-1-4-4,Niżnia Palenica Pańszczykowa
M-34-101-A-a-1-4-3,Rumowiec
M-34-101-A-a-1-4-2,Serwitut
M-34-101-A-a-1-4-3,Sichlański Potok
M-34-101-A-a-1-4-3,Sichlański Potok
M-34-101-A-a-1-4-1,Sichlański Potok
M-34-101-A-a-1-4-1,Sichlański Potok
M-34-101-A-a-1-4-1,Skupniów Potok
M-34-101-A-a-1-4-3,Skupniów Potok
M-34-101-A-a-1-4-4,Sucha Woda
M-34-101-A-a-1-4-2,Sucha Woda
M-34-101-A-a-1-4-4,Upust
M-34-101-A-a-1-4-4,Upust
M-34-101-A-a-1-4-1,Upust
M-34-101-A-a-1-4-3,Wspólne
M-34-101-A-a-1-4-4,Wyżnia Palenica Pańszczykowa
M-34-101-A-a-1-4-1,Wieszkówka
M-34-101-A-a-1-4-2,Stodoły
M-34-101-A-a-1-4-4,Polana Capówka
M-34-101-A-a-1-4-2,Lichajówki
M-34-101-A-b-3-1-1,Białka
M-34-101-A-b-3-1-3,Białka
M-34-101-A-c-1-1-3,Czarna Pasza
M-34-101-A-c-1-1-1,Czarny Potok
M-34-101-A-c-1-1-4,Czarny Potok
